index,family,recommendation,reason,instruction,output_duplicate_count
12,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D9 for TRIG, D10 for ECHO, and D6 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 2.4-sec",1
13,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya function. Usitumie istilahi ngumu bila kuzieleza.,3
14,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D10 for TRIG, D11 for ECHO, and D6 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 1.6-second closi",1
15,Kiswahili beginner,KEEP,unique or useful skill,Toa maelezo mafupi kuhusu string. Usitumie istilahi ngumu bila kuzieleza.,4
16,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D10 for TRIG, D11 for ECHO, and D5 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 1.2-second clo",1
17,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D4 for TRIG, D7 for ECHO, and D11 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing ti",1
18,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D9 for TRIG, D10 for ECHO, and D11 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 2.8-second closi",1
19,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D8 for TRIG, D9 for ECHO, and D3 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing ti",1
20,Python,KEEP,unique or useful skill,Debug carefully. Fix this function so zero is not counted as positive.,4
21,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D7 for TRIG, D8 for ECHO, and D5 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 1.2-second closing",1
22,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D9 for TRIG, D10 for ECHO, and D11 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 1.2-second closi",1
23,Ultrasonic,KEEP,unique or useful skill,"For a beginner, explain: Why is HC-SR04 distance calculated using `duration * 0.0343 / 2`?",1
24,Kiswahili beginner,KEEP,unique or useful skill,Toa maelezo mafupi kuhusu argument. Usitumie istilahi ngumu bila kuzieleza.,4
25,Python,KEEP,unique or useful skill,Correct the bug and explain the fix briefly. Fix this function so 50 is a pass and marks outside 0 to 100 raise ValueError.,4
26,Arduino conceptual,KEEP,unique or useful skill,"For a beginner, explain: Why use millis() instead of delay() when the sensor must keep being checked?",2
27,Kiswahili beginner,KEEP,unique or useful skill,Mfundishe mwanafunzi anayeanza programming maana ya if statement. Usitumie istilahi ngumu bila kuzieleza.,3
28,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu if statement. Usitumie istilahi ngumu bila kuzieleza.,3
29,Python,KEEP,unique or useful skill,Write a Python function that returns True if a string is empty.,1
30,Python,REDUCE,same/near-identical output already represented,Return runnable Python code. Fix this function so zero is not counted as positive.,4
31,Kiswahili beginner,KEEP,unique or useful skill,Elezea kwa Kiswahili rahisi maana ya return. Usitumie istilahi ngumu bila kuzieleza.,4
32,Python,REDUCE,same/near-identical output already represented,Return runnable Python code. Fix this function so 50 is a pass and marks outside 0 to 100 raise ValueError.,4
33,Ultrasonic,KEEP,unique or useful skill,Explain clearly: Does a normal HC-SR04 use SDA and SCL?,2
34,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D2 for TRIG, D3 for ECHO, and D11 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 1.2-sec",1
35,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D4 for TRIG, D7 for ECHO, and D9 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 1.2-second closi",1
36,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D4 for TRIG, D7 for ECHO, and D6 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 4-second closing",1
37,Kiswahili beginner,KEEP,unique or useful skill,Mwanafunzi mpya wa programming anauliza kuhusu condition. Usitumie istilahi ngumu bila kuzieleza.,4
38,Web/JavaScript,REWRITE,constraint acknowledgement is too shallow; convert to real task,"Create a webpage using only HTML, CSS and vanilla JavaScript. Do not use React.",1
39,Python,KEEP,unique or useful skill,Write a Python function that sums numbers in a list.,1
40,Python,KEEP,unique or useful skill,Correct the bug and explain the fix briefly. Fix this function so division by zero returns None.,3
41,Web/JavaScript,KEEP,unique or useful skill,Create JavaScript that checks whether a number is between 1 and 10.,1
42,Arduino conceptual,KEEP,unique or useful skill,"For a beginner, explain: How can Arduino cancel a pending close when the object returns?",2
43,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D8 for TRIG, D9 for ECHO, and D6 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 3.2-seco",1
44,Python,REDUCE,same/near-identical output already represented,Return runnable Python code. Fix this function so division by zero returns None.,3
45,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya string. Usitumie istilahi ngumu bila kuzieleza.,4
46,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D7 for TRIG, D8 for ECHO, and D6 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 2.4-second closi",1
47,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D9 for TRIG, D10 for ECHO, and D6 for the servo signal. Open when an object is 48 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing ti",1
48,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D7 for TRIG, D8 for ECHO, and D9 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 4-second",1
49,Python,KEEP,unique or useful skill,Debug carefully. Fix this function so an empty list returns 0.,4
50,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D10 for TRIG, D11 for ECHO, and D9 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 4-second closing",1
51,Arduino conceptual,KEEP,unique or useful skill,"For a beginner, explain: Why must TRIG be OUTPUT and ECHO be INPUT?",2
52,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mwanafunzi mpya wa programming anauliza kuhusu string. Usitumie istilahi ngumu bila kuzieleza.,4
53,Kiswahili beginner,KEEP,unique or useful skill,Toa maelezo mafupi kuhusu variable. Usitumie istilahi ngumu bila kuzieleza.,3
54,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D9 for TRIG, D10 for ECHO, and D11 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 3.2-second closi",1
55,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D9 for TRIG, D10 for ECHO, and D6 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 1.6-second closin",1
56,Python,REDUCE,same/near-identical output already represented,Debug carefully. Fix this function so division by zero returns None.,3
57,Kiswahili beginner,REDUCE,same/near-identical output already represented,Elezea kwa Kiswahili rahisi maana ya argument. Usitumie istilahi ngumu bila kuzieleza.,4
58,FastAPI,KEEP,unique or useful skill,Create a FastAPI GET /hello/{name} endpoint.,1
59,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D4 for TRIG, D7 for ECHO, and D6 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 1.6-second closing",1
60,Kiswahili beginner,KEEP,unique or useful skill,Mwanafunzi mpya wa programming anauliza kuhusu parameter. Usitumie istilahi ngumu bila kuzieleza.,4
61,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D9 for TRIG, D10 for ECHO, and D11 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 1.2-second clo",1
62,Kiswahili beginner,REDUCE,same/near-identical output already represented,Elezea kwa Kiswahili rahisi maana ya condition. Usitumie istilahi ngumu bila kuzieleza.,4
63,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D2 for TRIG, D3 for ECHO, and D9 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing",1
64,Arduino conceptual,REDUCE,same/near-identical output already represented,Explain clearly: How can Arduino cancel a pending close when the object returns?,2
65,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D2 for TRIG, D3 for ECHO, and D5 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing",1
66,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D10 for TRIG, D11 for ECHO, and D3 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 1.6-second closi",1
67,Ultrasonic,KEEP,unique or useful skill,I have Arduino Uno and one ultrasonic sensor only. Do not assume I have a servo.,1
68,Servo,KEEP,unique or useful skill,Explain clearly: Does the SG90 signal wire require an Arduino pin marked with the PWM symbol?,2
69,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D7 for TRIG, D8 for ECHO, and D9 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing",1
70,Python,REDUCE,same/near-identical output already represented,Debug carefully. Fix this function so 50 is a pass and marks outside 0 to 100 raise ValueError.,4
71,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D7 for TRIG, D8 for ECHO, and D5 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 1.6-second closi",1
72,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D4 for TRIG, D7 for ECHO, and D6 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 4-second closing t",1
73,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D8 for TRIG, D9 for ECHO, and D5 for the servo signal. Open when an object is 32 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing ti",1
74,Other,REWRITE,constraint acknowledgement is too shallow; convert to real task,The program must work completely offline.,1
75,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya variable. Usitumie istilahi ngumu bila kuzieleza.,3
76,Python,REDUCE,same/near-identical output already represented,Return runnable Python code. Fix this function so an empty list returns 0.,4
77,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D4 for TRIG, D7 for ECHO, and D3 for the servo signal. Open when an object is 32 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing tim",1
78,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D8 for TRIG, D9 for ECHO, and D3 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing",1
79,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D7 for TRIG, D8 for ECHO, and D9 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 1.6-second closing",1
80,Python,KEEP,unique or useful skill,Write a Python function that returns the square of a number.,1
81,Kiswahili beginner,REDUCE,same/near-identical output already represented,Elezea kwa Kiswahili rahisi maana ya variable. Usitumie istilahi ngumu bila kuzieleza.,3
82,Web/JavaScript,KEEP,unique or useful skill,Create JavaScript that formats a number to two decimal places.,1
83,Python,KEEP,unique or useful skill,Correct the bug and explain the fix briefly. Fix this function so it returns the smallest value.,3
84,Other,KEEP,unique or useful skill,Explain clearly: Why should the closing timer start only after the object leaves?,2
85,Arduino conceptual,REDUCE,same/near-identical output already represented,Explain clearly: Why must TRIG be OUTPUT and ECHO be INPUT?,2
86,Python,REDUCE,same/near-identical output already represented,Correct the bug and explain the fix briefly. Fix this function so zero is not counted as positive.,4
87,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D2 for TRIG, D3 for ECHO, and D5 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 4-second closing time",1
88,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu condition. Usitumie istilahi ngumu bila kuzieleza.,4
89,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya condition. Usitumie istilahi ngumu bila kuzieleza.,4
90,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mwanafunzi mpya wa programming anauliza kuhusu if statement. Usitumie istilahi ngumu bila kuzieleza.,3
91,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu parameter. Usitumie istilahi ngumu bila kuzieleza.,4
92,Python,KEEP,unique or useful skill,Write a Python function that converts Celsius to Fahrenheit.,1
93,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D4 for TRIG, D7 for ECHO, and D5 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing",1
94,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mwanafunzi mpya wa programming anauliza kuhusu return. Usitumie istilahi ngumu bila kuzieleza.,4
95,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D8 for TRIG, D9 for ECHO, and D3 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 2.8-seco",1
96,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D4 for TRIG, D7 for ECHO, and D5 for the servo signal. Open when an object is 48 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing",1
97,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D8 for TRIG, D9 for ECHO, and D11 for the servo signal. Open when an object is 48 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing ti",1
98,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu loop. Usitumie istilahi ngumu bila kuzieleza.,4
99,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D9 for TRIG, D10 for ECHO, and D3 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 2.8-second closin",1
100,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D2 for TRIG, D3 for ECHO, and D6 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 2.4-seco",1
101,Python,REDUCE,same/near-identical output already represented,Debug carefully. Fix this function so it returns the smallest value.,3
102,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D7 for TRIG, D8 for ECHO, and D6 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 1.6-second closing ti",1
103,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya list. Usitumie istilahi ngumu bila kuzieleza.,3
104,Arduino conceptual,REDUCE,same/near-identical output already represented,Explain clearly: Why use millis() instead of delay() when the sensor must keep being checked?,2
105,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya return. Usitumie istilahi ngumu bila kuzieleza.,4
106,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D2 for TRIG, D3 for ECHO, and D11 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing ti",1
107,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D10 for TRIG, D11 for ECHO, and D6 for the servo signal. Open when an object is 32 cm or nearer. Keep it open while the object is present. Start a 3.2-second clo",1
108,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D7 for TRIG, D8 for ECHO, and D3 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 1.2-seco",1
109,Other,REWRITE,constraint acknowledgement is too shallow; convert to real task,"The application must not call OpenAI, Gemini or another online API.",1
110,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D10 for TRIG, D11 for ECHO, and D9 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 4-second closing ti",1
111,Other,REDUCE,same/near-identical output already represented,"For a beginner, explain: Why should the closing timer start only after the object leaves?",2
112,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya argument. Usitumie istilahi ngumu bila kuzieleza.,4
113,Python,REDUCE,same/near-identical output already represented,Check the edge case before answering. Fix this function so zero is not counted as positive.,4
114,Ultrasonic,KEEP,unique or useful skill,"Explain clearly: Why must the Arduino, HC-SR04 and servo share GND?",2
115,Kiswahili beginner,REDUCE,same/near-identical output already represented,Elezea kwa Kiswahili rahisi maana ya string. Usitumie istilahi ngumu bila kuzieleza.,4
116,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D7 for TRIG, D8 for ECHO, and D9 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 4-second closing t",1
117,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D4 for TRIG, D7 for ECHO, and D3 for the servo signal. Open when an object is 28 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing ti",1
118,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D10 for TRIG, D11 for ECHO, and D6 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 4-second closi",1
119,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu function. Usitumie istilahi ngumu bila kuzieleza.,3
120,Arduino conceptual,KEEP,unique or useful skill,"I have Arduino Uno, one LED and jumper wires only. Do not use a buzzer.",1
121,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D10 for TRIG, D11 for ECHO, and D5 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 1.2-second closing ",1
122,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D4 for TRIG, D7 for ECHO, and D9 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing",1
123,Other,KEEP,unique or useful skill,Explain clearly: What can happen if no echo is interpreted as zero distance?,1
124,Python,REDUCE,same/near-identical output already represented,Correct the bug and explain the fix briefly. Fix this function so an empty list returns 0.,4
